"경기","항목","FIFA 공식값","FotMob값","국내기사값","채택값","출처 URL"
"멕시코전","킥오프(현지)","6/18 18:00~19:00 (현지)","—","6/19 오전 10시(KST)","현지 6/18 19:00 = KST 6/19 09:00, UTC 6/19 00:00 (표기 상충 아래 주석)","FIFA MC, 한국일보"
"멕시코전","경기장","Guadalajara Stadium(=Estadio Akron), Guadalajara","—","과달라하라 스타디움/에스타디오 아크론, 사포판","Estadio Akron, Zapopan","FIFA MC"
"멕시코전","관중","45,522","—","—","45,522","FIFA MC"
"멕시코전","주심","Gustavo Tejera (Uruguay)","—","—","Gustavo Tejera (우루과이)","FIFA MC"
"멕시코전","득점","로모(Romo) 50'","—","로모 50'(후반5분)","로모 50'","FIFA MC, 디지털타임스"
"멕시코전","코너킥","멕시코 0 / 한국 2","—","—","멕시코 0 / 한국 2","FIFA MC"
"멕시코전","파울(against)","멕시코 9 / 한국 7","—","—","멕시코 9 / 한국 7","FIFA MC"
"멕시코전","경고","이강인 4', 백승호 58' (한국 옐로 2, 멕시코 0)","—","—","이강인 4', 백승호 58' 옐로","FIFA MC"
"멕시코전","점유율","멕시코 40% / 한국 51%(9% 경합)","—","한국 58%(ESPN)","FIFA 51% / ESPN 58% 병기","FIFA MC, ESPN"
"멕시코전","xG","(캐시 JSON) 멕시코 0.34 / 한국 0.87","미확인","—","Opta계열: 멕시코 0.48 / 한국 0.69 (ESPN) — 모델 차이 병기","[FIFA 캐시], ESPN"
