"경기","항목","FIFA 공식값","FotMob값","국내기사값","채택값","출처 URL"
"남아공전","킥오프(현지)","6/24 18:00 (현지, 몬테레이/과달루페)","—","6/25 오전 2시(KST, Sky)","현지 6/24 18:00~19:00 = KST 6/25 09:00~10:00, UTC 6/25 00:00~01:00 (아래 주석)","FIFA MC, ESPN"
"남아공전","경기장","Monterrey Stadium(=Estadio BBVA), Monterrey/Guadalupe","—","—","Estadio BBVA, Guadalupe","FIFA MC, Sky Sports"
"남아공전","관중","미표시","51,243(Sky)","—","51,243","Sky Sports, Wikipedia"
"남아공전","주심","미표시","—","—","Facundo Tello (아르헨티나)","ESPN, Wikipedia"
"남아공전","득점","마세코(Maseko) 63'","마세코 63'","마세코 63'(뉴스)","마세코 63'","FIFA MC, Opta"
"남아공전","코너킥","남아공 4 / 한국 6","—","—","남아공 4 / 한국 6","FIFA MC"
"남아공전","파울(against)","남아공 7 / 한국 9","—","—","남아공 7 / 한국 9","FIFA MC"
"남아공전","경고","집계만: 남아공 1 / 한국 1","—","—","개별: 김민재 65', 조규성 78'(한국). 남아공 1명 미확인","FIFA MC, Wikipedia"
"남아공전","점유율","남아공 30% / 한국 60%(10% 경합)","—","—","남아공 31.5% / 한국 68.5% (Opta)","FIFA MC, Opta"
"남아공전","xG (질문3)","미표시(렌더링)","1.16 / 0.90 (매치페이지) · 1.1 / 1.0 (뉴스)","—","남아공 1.1(≈1.16) / 한국 1.0(≈0.90) — 아래 판단","Opta, ESPN"
